 ,Label,Area,X,Y,Perim.,Circ.,AR,Round,Solidity
1,DCP1A_raw_image.tif,20,578.250,42.050,15.899,0.994,1.403,0.713,0.909
2,DCP1A_raw_image.tif,11,564.591,54.136,11.071,1.000,1.372,0.729,0.957
3,DCP1A_raw_image.tif,15,420.100,73.100,13.071,1.000,1.137,0.880,0.968
4,DCP1A_raw_image.tif,14,492.857,105.286,13.314,0.993,1.264,0.791,0.848
5,DCP1A_raw_image.tif,14,202.500,113.000,14.485,0.838,1.768,0.565,0.875
6,DCP1A_raw_image.tif,27,485.907,121.241,18.142,1.000,1.059,0.945,0.885
7,DCP1A_raw_image.tif,10,431.500,126.300,11.071,1.000,1.236,0.809,0.909
8,DCP1A_raw_image.tif,10,276.500,127.300,11.071,1.000,1.236,0.809,0.909
9,DCP1A_raw_image.tif,11,462.318,157.773,11.899,0.976,1.147,0.871,0.815
10,DCP1A_raw_image.tif,13,357.808,161.654,13.314,0.922,1.263,0.792,0.788
11,DCP1A_raw_image.tif,10,359.500,181.000,10.485,1.000,1.551,0.645,0.909
12,DCP1A_raw_image.tif,14,134.643,183.786,13.899,0.911,1.310,0.763,0.848
13,DCP1A_raw_image.tif,10,265.500,202.700,11.071,1.000,1.236,0.809,0.909
14,DCP1A_raw_image.tif,43,144.756,221.523,24.385,0.909,1.260,0.793,0.851
15,DCP1A_raw_image.tif,14,290.786,219.000,12.485,1.000,1.020,0.981,0.933
16,DCP1A_raw_image.tif,13,110.269,238.654,13.314,0.922,1.312,0.762,0.812
17,DCP1A_raw_image.tif,21,576.500,240.881,16.142,1.000,1.355,0.738,0.857
18,DCP1A_raw_image.tif,24,440.208,251.500,17.314,1.000,1.076,0.929,0.889
19,DCP1A_raw_image.tif,33,523.258,267.348,20.385,0.998,1.535,0.651,0.880
20,DCP1A_raw_image.tif,34,300.147,296.676,20.142,1.000,1.143,0.875,0.907
21,DCP1A_raw_image.tif,10,330.500,299.700,11.071,1.000,1.236,0.809,0.909
22,DCP1A_raw_image.tif,15,377.900,303.100,13.071,1.000,1.137,0.880,0.968
23,DCP1A_raw_image.tif,11,76.409,304.136,11.071,1.000,1.372,0.729,0.957
24,DCP1A_raw_image.tif,35,93.557,311.071,21.314,0.968,1.588,0.630,0.933
25,DCP1A_raw_image.tif,29,284.776,311.086,18.728,1.000,1.076,0.929,0.906
26,DCP1A_raw_image.tif,19,217.658,313.026,16.142,0.916,1.369,0.730,0.809
27,DCP1A_raw_image.tif,12,397.833,312.250,11.899,1.000,1.135,0.881,0.857
28,DCP1A_raw_image.tif,17,390.735,329.676,14.728,0.985,1.459,0.685,0.850
29,DCP1A_raw_image.tif,28,518.179,335.500,18.971,0.978,1.238,0.808,0.848
30,DCP1A_raw_image.tif,20,432.850,336.950,15.899,0.994,1.568,0.638,0.909
31,DCP1A_raw_image.tif,17,264.088,337.618,13.899,1.000,1.263,0.792,0.919
32,DCP1A_raw_image.tif,10,540.300,345.900,11.899,0.887,1.469,0.681,0.870
